corpus,record_id,title,year,doi,doc_type,methodology,geography,thesis,theme_1_score,theme_2_score,theme_3_score,theme_4_score,dual_use_explicit,dual_use_direction,dual_use_structural,key_quotes,policy_relevance,via_or_origin
main,2,Social Media Monitoring,,,policy_report,policy_analysis,India,"Examines Indian government social media monitoring programs, arguing they lack legal basis, transparency, and accountability, threatening privacy and free speech.",2,2,1,0,yes,civil_to_military,tangential,"Social media monitoring techniques have their origins in the private sector. These practices were, to begin with, aimed at market research and customer profiling. With time, law enforcement agencies have recognised their utility. || The use of machine learning algorithms and big data multiply these harms by reducing the transparency and intelligibility of these decisions. || In absence of any laws which govern the functioning of these applications, there is no way to ensure that basic human rights such as free speech, privacy and the right to assemble and protest are not curtailed.","Argues for clear legal framework, transparency, accountability, and judicial oversight for social media surveillance programs. Critiques lack of legislation and mission creep.",A
main,3,NITI Aayog Discussion Paper: An aspirational step towards India’s AI policy,2018,,grey_lit,policy_analysis,India,"Critique of India's AI strategy for insufficient attention to ethics, rights, defense dual-use, and over-reliance on industry self-regulation.",1,2,2,0,yes,civil_to_military,no,"Another sector the paper fails to include is defense, this is worrying since India is chairing the Group of Governmental Experts on Lethal Autonomous Weapons Systems (LAWS) in 2018. || In its vision for the use of AI in smart cities, the paper suggests the adoption of a sophisticated surveillance system as well as the use of social media intelligence platforms to check and monitor people’s movement both online and offline to maintain public safety. || The section on transparency and opening the Black Box has several lacunae.","Recommends future AI strategy include defense applications, human rights impact assessments, mandatory human-in-the-loop, kill switches, and stronger regulatory frameworks; criticises over-reliance on industry self-regulation.",A
main,6,Big Brother Watch’s written evidence to the Joint Committee on Human Rights on The Right to Privacy (Article 8) and the Digital Revolution inquiry,2019,,policy_report,policy_analysis,UK,"State adoption of surveillance technologies and automated decision-making in policing and welfare systems threatens privacy rights, requiring stronger legal safeguards.",2,2,1,0,tangential,civil_to_military,tangential,"Police are also using more and more advanced technology to access, download, and analyse digital evidence as part of these investigations. However, technological and legal and policy limitations currently mean that digital evidence collection can be extremely intrusive, obstruct justice, and infringe rights. || The public sector is rapidly adopting commercial software, either replacing human functions or introducing new processes. This includes machine-learning, predictive policing systems; artificial intelligence (AI) facial recognition surveillance software; AI recidivism risk tools fuelled by marketing data; automated risk assessments and ‘Voice Risk Analysis’ for welfare applicants; and digital evidence software, including AI analysis, in the criminal justice system. || The UK’s Data Protection Act 2018 makes exemptions from this important GDPR right. ... welfare and justice decisions could be being made that are for all intents and purposes automated decisions, without individuals being notified of this fact or of their right to appeal.","Recommends formal public and parliamentary consultations before adoption of new technologies, amendments to Data Protection Act 2018 to ban fully automated decisions engaging human rights, and banning micro-targeted online advertising. Also recommends a public inventory of public-private data sharing agreements.",A
main,7,Public Comment,2023,,other,other,"Tracy, California, USA","A public comment letter expressing concern that Smart City technologies in Tracy constitute mass surveillance and encroach on privacy, free speech, and data protection.",1,2,1,0,no,neither,no,"Smart Cities are not being accurately described for what they really are - they are mass surveillance cities, which remove any sense of individual privacy. || The deployment and integration of surveillance technologies, such as sensors and biometric data collection systems - electronic, infrared, thermal, and LIDAR sensors form the basis of the smart grid. They do everything from operating streetlights to optimizing parking and traffic flow to detect crime. || nobody would vote for digital prisons if they understood how vast the surveillance will be in smart cities.","The comment requests the city council to reevaluate the Smart City plan and consider privacy implications, but offers no specific policy recommendations.",A
main,9,Future Cities: Trends and Implications,2020,,policy_report,policy_analysis,global,The report identifies trends in future cities and their military implications for UK defence operations.,2,1,2,0,yes,both,yes,"The exploitation of smart technology may permit the ability to map occurrences within a building in real-time; allowing effective collateral damage estimations, to better inform the most suitable form of kinetic strike. || Smart City infrastructure poses risks and opportunities for the UK military. If an adversary is able to efficiently control digital infrastructure and deny the UK military access, they will be able to utilise it to gain an advantage. || The increasing verticalisation of buildings, and urban density, will make it difficult to contain weapon effects within a single building or floor, enhancing the likelihood of collateral damage.","Provides recommendations for UK military: urban training, database of cities, specialised urban units, cyber capabilities, and partnerships with private sector.",A
main,11,Open letter to EU AI Act negotiators: Do not trade away our rights!,2023,,other,other,European Union,Civil society calls on EU lawmakers to reject legalisation of dangerous and discriminatory police AI in the AI Act.,0,2,1,0,no,neither,no,"No AI Act deal can be worth legitimising digital tools of oppression. || EU Member States are pushing extremist demands for police to be able to discriminate against the general public including on the basis of race, gender, sexuality, religion and political views through predictive policing and biometric categorisation systems. || These technologies are rooted in eugenic, racist and ableist premises, and have been widely discredited by academics.","Direct advocacy for the EU AI Act to prohibit predictive policing, biometric categorisation, emotion recognition, and mass surveillance in policing and migration, and to ensure transparency and accountability.",A
main,13,COMMENTS OF THE ELECTRONIC PRIVACY INFORMATION CENTER to the U.S. Department of Justice and Department of Homeland Security Request for Written Submissions on Section 13(e) of EO 14074,2024,,policy_report,policy_analysis,United States,"EPIC argues that law enforcement use of facial recognition, predictive algorithms, social media surveillance, and DNA analysis requires robust safeguards to protect privacy, civil rights, and civil liberties, and that some technologies should be banned.",1,2,1,0,no,neither,no,"By enabling surveillance at scale and at minimum cost, these emerging surveillance tools allow law enforcement to quickly identify and track individuals to an extent previously impossible. Given this scalability and the current lack of safeguards, the risk of mission creep is significant. || Facial recognition is a dangerous and privacy-invasive surveillance technology that law enforcement should not use. ... It is a perfect tool of oppression and poses far too great a risk to our democracy to become a ubiquitous tool of police surveillance. || Predictive technology trained on historical policing data reinforces the over policing of majority minority neighborhoods and communities, while dehumanizing those communities and adding a veneer of legitimacy and objectivity through 'hard data.'","The document provides ten detailed policy recommendations for DOJ and DHS, including prohibiting mass surveillance, requiring warrants, mandating independent audits, strengthening data minimization, and ensuring non-discrimination. It also calls for a ban on facial recognition technology and stricter regulation of predictive policing, social media surveillance, and DNA databases.",A
main,18,"INFORMATION, KNOWLEDGE AND DIGITAL DISRUPTION",2017,,conference_paper,other,global,Symposium exploring how emerging digital technologies will disrupt Defence and national security in smart city contexts over 10-20 years.,2,0,1,0,yes,both,tangential,"In the next 10 to 20 years, new technologies such as the internet of things, big data, artificial intelligence, machine learning, robotics, automation and virtual/augmented/mixed reality will transform the way we live our lives. In the Defence context this rapid change (resulting in disruption) presents both an opportunity and a threat. || How will our future organisational and command structures operate with the agility and flexibility offered by digital technologies? And equally, how will our adversaries adopt and use such technologies. || Cities in 2040 will be hyper-connected information nodes in the digital mesh, and how Defence interacts with this environment is an important insight for forward strategic planning.",Symposium aims to shape long-term Defence and national security research priorities and industry focus through a Big Picture Assessment Report.,A
main,19,Big Data Applications in Crime and Security,2014,,,,,,,,,,,,,,,A
main,21,SMART CITY TECHNOLOGIES. SMART BASE NEEDS.,,,grey_lit,other,"United States (Fort Carson, Fort Benning, MCAS Miramar)",Promotes dual-use development of commercial smart city technologies for military installations to enhance readiness and resilience.,2,0,1,0,yes,civil_to_military,tangential,"US Ignite and our partners promote the rapid dual-use development of commercial technologies that meet the needs of installations. || Just like cities, Department of Defense (DoD) installations are tasked with taking care of their people, promoting readiness and resilience, and delivering critical services to residents and visitors. This overlap means military installations can take advantage of existing smart city solutions to modernize operations and create their own more effective Smart Base operations. || If a piloted solution is successful, US Ignite and our partners then communicate the success of the program and work to identify pathways for entrenching the technology in the host installation and scaling it to installations across the DoD.","Promotes a model for dual-use technology development and scaling across military installations, with implications for defense procurement and smart city-military collaboration.",A
